message,timestamp,severity,tags,attributes
unpacking archive,2026-08-21T16:27:58.693709918Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""railway.progress"",""status"":""complete"",""size"":972800,""duration_ms"":7}"
uploading snapshot,2026-08-21T16:27:58.994010587Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""railway.progress"",""status"":""complete"",""size"":103247,""duration_ms"":0}"
using build driver nixpacks-v1.41.0,2026-08-21T16:27:58.995685840Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-08-21T16:27:59.420311957Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info""}"
╔══════════════════════════════ Nixpacks v1.41.0 ══════════════════════════════╗,2026-08-21T16:27:59.420318016Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info""}"
"║ setup      │ python311, gcc                                                  ║",2026-08-21T16:27:59.420321120Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info""}"
║──────────────────────────────────────────────────────────────────────────────║,2026-08-21T16:27:59.420329653Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info""}"
║ install    │ python -m venv --copies /opt/venv && . /opt/venv/bin/activate   ║,2026-08-21T16:27:59.420330855Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info""}"
║            │ && pip install -r requirements.txt                              ║,2026-08-21T16:27:59.420332377Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info""}"
║──────────────────────────────────────────────────────────────────────────────║,2026-08-21T16:27:59.420333980Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info""}"
║ start      │ python3 -m api.index                                            ║,2026-08-21T16:27:59.420334751Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info""}"
╚══════════════════════════════════════════════════════════════════════════════╝,2026-08-21T16:27:59.420336253Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-08-21T16:27:59.420336934Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-08-21T16:27:59.420845487Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info""}"
Saved output to:,2026-08-21T16:27:59.420846969Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info""}"
  snapshot-target-unpack,2026-08-21T16:27:59.420848251Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info""}"
[internal] load build definition from Dockerfile,2026-08-21T16:27:59.723591175Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:58d025be874004c0838bd188c863a2cfb6f7b32b27f09568208158f229b0e586""}"
[internal] load build definition from Dockerfile,2026-08-21T16:27:59.723816243Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:58d025be874004c0838bd188c863a2cfb6f7b32b27f09568208158f229b0e586"",""started"":""2026-08-21T16:27:59.723483063Z"",""completed"":""2026-08-21T16:27:59.723570354Z""}"
[internal] load build definition from Dockerfile,2026-08-21T16:27:59.724002432Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:58d025be874004c0838bd188c863a2cfb6f7b32b27f09568208158f229b0e586"",""started"":""2026-08-21T16:27:59.723750374Z""}"
[internal] load build definition from Dockerfile,2026-08-21T16:27:59.798224274Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:58d025be874004c0838bd188c863a2cfb6f7b32b27f09568208158f229b0e586"",""started"":""2026-08-21T16:27:59.723750374Z"",""completed"":""2026-08-21T16:27:59.797778675Z""}"
[internal] load metadata for ghcr.io/railwayapp/nixpacks:ubuntu-1745885067,2026-08-21T16:27:59.817553155Z,info,"{""serviceId"":""2f22293c-9116-4952-b24d-3937d322e2e1"",""deploymentId"":""2968a509-51be-459f-94f4-98ea3e0feb82"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:2b1ddac473557e0070f0e364e586c6092ed09e60d811f10361379ca6929bd127"",""started"":""2026-08-21T16:27:59.817208628Z""}"
