message,timestamp,severity,tags,attributes
unpacking archive,2026-08-20T18:56:07.735041283Z,info,"{""serviceId"":""81d5ee45-c7c6-4425-abe4-01e72a5cece4"",""deploymentId"":""5fd9f434-afb2-412b-a52e-1a8f41a4a73a"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""railway.progress"",""status"":""complete"",""size"":81920,""duration_ms"":2}"
uploading snapshot,2026-08-20T18:56:08.054522544Z,info,"{""serviceId"":""81d5ee45-c7c6-4425-abe4-01e72a5cece4"",""deploymentId"":""5fd9f434-afb2-412b-a52e-1a8f41a4a73a"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""railway.progress"",""status"":""complete"",""size"":14776,""duration_ms"":24}"
using build driver railpack-v0.37.0,2026-08-20T18:56:08.230126508Z,info,"{""serviceId"":""81d5ee45-c7c6-4425-abe4-01e72a5cece4"",""deploymentId"":""5fd9f434-afb2-412b-a52e-1a8f41a4a73a"",""deploymentInstanceId"":null}","{""level"":""info""}"
[railway] prepare railpack-v0.37.0,2026-08-20T18:56:08.560794846Z,info,"{""serviceId"":""81d5ee45-c7c6-4425-abe4-01e72a5cece4"",""deploymentId"":""5fd9f434-afb2-412b-a52e-1a8f41a4a73a"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:1b9ea6e7015e29666097315c6e34345b4a24a15e6f896bfd26804cc5fd6fd506"",""inputs"":[""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""sha256:210001376d7de06f675a7a61bc0ba609db7365a7abd8576c93e731586860fada"",""sha256:396ecc055636be7142facbf2a9655bcf8260ba3900a63f09f6bd73b057f0fb0c""]}"
local://prepare-driver,2026-08-20T18:56:08.560797740Z,info,"{""serviceId"":""81d5ee45-c7c6-4425-abe4-01e72a5cece4"",""deploymentId"":""5fd9f434-afb2-412b-a52e-1a8f41a4a73a"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:396ecc055636be7142facbf2a9655bcf8260ba3900a63f09f6bd73b057f0fb0c""}"
local://prepare-context,2026-08-20T18:56:08.560799062Z,info,"{""serviceId"":""81d5ee45-c7c6-4425-abe4-01e72a5cece4"",""deploymentId"":""5fd9f434-afb2-412b-a52e-1a8f41a4a73a"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:210001376d7de06f675a7a61bc0ba609db7365a7abd8576c93e731586860fada""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-08-20T18:56:08.560799763Z,info,"{""serviceId"":""81d5ee45-c7c6-4425-abe4-01e72a5cece4"",""deploymentId"":""5fd9f434-afb2-412b-a52e-1a8f41a4a73a"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652""}"
local://prepare-driver,2026-08-20T18:56:08.560894415Z,info,"{""serviceId"":""81d5ee45-c7c6-4425-abe4-01e72a5cece4"",""deploymentId"":""5fd9f434-afb2-412b-a52e-1a8f41a4a73a"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:396ecc055636be7142facbf2a9655bcf8260ba3900a63f09f6bd73b057f0fb0c"",""started"":""2026-08-20T18:56:08.560636498Z"",""completed"":""2026-08-20T18:56:08.560698211Z""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-08-20T18:56:08.561195146Z,info,"{""serviceId"":""81d5ee45-c7c6-4425-abe4-01e72a5cece4"",""deploymentId"":""5fd9f434-afb2-412b-a52e-1a8f41a4a73a"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""started"":""2026-08-20T18:56:08.560760194Z""}"
local://prepare-context,2026-08-20T18:56:08.561198120Z,info,"{""serviceId"":""81d5ee45-c7c6-4425-abe4-01e72a5cece4"",""deploymentId"":""5fd9f434-afb2-412b-a52e-1a8f41a4a73a"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:210001376d7de06f675a7a61bc0ba609db7365a7abd8576c93e731586860fada"",""started"":""2026-08-20T18:56:08.560866613Z""}"
